epoch,train/total,train/prediction,train/kl
0,0.32681290001554786,0.27665015933781073,0.5016273568465421
1,0.4254998272698697,0.32533378674515195,0.5008302083930292
2,0.49993320324427126,0.3497143216840939,0.5007295846784202
3,0.5451848339136156,0.3449309839410873,0.5006346184616741
4,0.5966048583085013,0.34632573852088866,0.5005582393170849
5,0.6538045443642857,0.35351653068599476,0.500480003135449
6,0.7053396671352163,0.3550491984102725,0.5004149650329632
7,0.7579306636526761,0.3576382451459617,0.5003655157780017
8,0.8084268563234636,0.3581412423994181,0.5003173619495836
9,0.8593620116729249,0.35907589126944595,0.5002861201195244
10,0.8584871044815645,0.35821202074025504,0.5002750834121803
11,0.8582152550150275,0.35794302310041143,0.5002722315015913
12,0.8604534561239625,0.3601731540269798,0.5002803021744249
13,0.8590833727494624,0.3588109706879798,0.5002724024809609
14,0.8591877300794014,0.3589288327292789,0.5002588974469252
15,0.8592139454231783,0.3589614733001689,0.5002524722133586
16,0.8606509453499663,0.3603871429751269,0.5002638021425129
17,0.859691306813138,0.3594392848613718,0.5002520219517663
18,0.858662182941949,0.3584194425420877,0.5002427408064326
19,0.8592261001241832,0.3589887027941312,0.5002373974526687
20,0.8591327121785421,0.3588981508318094,0.5002345617274899
21,0.858696270048386,0.3584677214073175,0.5002285480473454
22,0.8595284903240493,0.3592990240579872,0.5002294663435043
23,0.8595643957206417,0.3593344118376736,0.500229984083027
24,0.8589844530849242,0.35875582142586626,0.500228631646151
25,0.8584795080128559,0.35826166875695914,0.5002178395398513
26,0.859155380620023,0.3589394887180853,0.500215891792228
27,0.8581162248405351,0.3579023121535494,0.5002139128354165
28,0.8579131988748011,0.3577084321256012,0.5002047670073404
29,0.8580980684500125,0.35786386213038274,0.5002342064487
