epoch,train/total,train/prediction,train/kl
0,0.01245417143075158,0.01245417143075158,4.289050318913707
1,0.0006124361428094769,0.0006124361428094769,4.838672738097973
2,0.00044416337698761975,0.00044416337698761975,5.507683756755203
3,0.0002992491673333628,0.0002992491673333628,5.739153897932671
4,0.00027779599977565187,0.00027779599977565187,5.906900898002866
5,0.0002519077268354129,0.0002519077268354129,6.120856188653919
6,0.0002442913187084063,0.0002442913187084063,6.3666774639065205
7,0.0002305052706564021,0.0002305052706564021,6.506905338370784
8,0.0002091453924635831,0.0002091453924635831,6.7281285599229035
9,0.00019158679972653556,0.00019158679972653556,6.907890519728233
10,0.00017464062675406333,0.00017464062675406333,7.041534684756557
11,0.0001660777771860245,0.0001660777771860245,7.1121333255660435
12,0.00015656371843162688,0.00015656371843162688,7.188091302857662
13,0.0001503713817713221,0.0001503713817713221,7.260109596202878
14,0.00014042411049685163,0.00014042411049685163,7.302784546157817
15,0.0001314600748364135,0.0001314600748364135,7.3456717601014505
16,0.0001234259611854705,0.0001234259611854705,7.377910294125947
17,0.0001141045581169134,0.0001141045581169134,7.459412102680694
18,0.00010850808715637217,0.00010850808715637217,7.517438461172369
19,0.00010212160752878461,0.00010212160752878461,7.58858004149135
20,9.682424547079554e-05,9.682424547079554e-05,7.638445300114212
21,9.472165295592088e-05,9.472165295592088e-05,7.686163943585197
22,8.906388364301267e-05,8.906388364301267e-05,7.744995018371311
23,8.539563917856718e-05,8.539563917856718e-05,7.7644884580138855
24,8.328463122935382e-05,8.328463122935382e-05,7.812920907401791
25,8.213079850792425e-05,8.213079850792425e-05,7.837288389685042
26,8.047831583458758e-05,8.047831583458758e-05,7.865158158806611
27,7.970537588838385e-05,7.970537588838385e-05,7.876627653282202
28,7.932033260099962e-05,7.932033260099962e-05,7.872679622207384
29,7.87407310489545e-05,7.87407310489545e-05,7.874514451425486
