epoch,train/total,train/prediction,train/kl
0,0.3274735387216248,0.27730467174671697,0.5016886233483212
1,0.4245437991701715,0.32436990723071957,0.500869467706069
2,0.5139909301125781,0.36372904180060633,0.5008729405736655
3,0.5537391942576858,0.35345268204337127,0.5007162747727993
4,0.6061838564933663,0.3558653512458979,0.5006370111790092
5,0.6538091974115929,0.353487449943787,0.5005362253779713
6,0.701504392263021,0.3511986249114797,0.5004368187571666
7,0.7528645028640513,0.35254977753199557,0.5003933996388075
8,0.806698737489346,0.35637934984790137,0.5003548879781395
9,0.8613209591483905,0.3610110460046877,0.5003099128145736
10,0.8601811429079914,0.3598734584720479,0.5003076845843744
11,0.8595538554045998,0.35924901134681786,0.5003048438899906
12,0.8593651663436163,0.3590563521298974,0.5003088143234286
13,0.8593971509730057,0.35908939913657384,0.5003077520881188
14,0.8589186714603149,0.35860792443240136,0.5003107468923896
15,0.8600417105420527,0.3597371693863503,0.5003045411686093
16,0.8618242444673003,0.3615110731837346,0.5003131711544956
17,0.8616698692633817,0.3613623082121506,0.5003075605478572
18,0.8620084946343475,0.36169980616732667,0.5003086883637646
19,0.8625717156503354,0.3622661807375483,0.5003055349321477
20,0.8601682782818508,0.3598702521087185,0.500298025792375
21,0.8616637947137039,0.361364860705557,0.5002989339048907
22,0.8611495981695539,0.3608634524876651,0.5002861457399704
23,0.8598377061463269,0.359560378479875,0.5002773272211596
24,0.8616250594259083,0.3613440126709837,0.5002810466387614
25,0.8562107021259301,0.35594676730564634,0.5002639349945286
26,0.8542533710102025,0.3539933790797638,0.5002599921821257
27,0.8606095648059705,0.3603435578143354,0.500266007191694
28,0.8606789266717233,0.3604176922270931,0.500261234354281
29,0.8604202267151986,0.3601639890061565,0.5002562378381123
