game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,heuristic,modern_mono_red_burn,5,1.24,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,heuristic,modern_mono_red_burn,16,0.97,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,heuristic,modern_mono_red_burn,6,0.37,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,heuristic,modern_mono_red_burn,10,0.14,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player2,kg_heuristic,modern_azorius_control,12,0.42,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,heuristic,modern_mono_red_burn,4,0.05,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,heuristic,modern_mono_red_burn,6,0.76,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,heuristic,modern_mono_red_burn,4,0.49,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,6,0.72,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,5,0.57,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,5,0.61,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,5,0.58,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,11,0.86,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,4,0.07,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,6,0.1,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,4,0.06,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
17,standard,player1,heuristic,modern_mono_red_burn,6,0.98,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
18,standard,player1,heuristic,modern_mono_red_burn,8,0.17,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
