game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,commander,player3,kg_heuristic,urza-lord-high-artificer_core,22,1082.94,"{""player1"": ""random"", ""player2"": ""heuristic"", ""player3"": ""kg_heuristic"", ""player4"": ""llm_fusion""}","{""player1"": ""krenko-mob-boss_core"", ""player2"": ""atraxa-praetors-voice_core"", ""player3"": ""urza-lord-high-artificer_core"", ""player4"": ""meren-of-clan-nel-toth_core""}",
2,commander,player3,llm_fusion,urza-lord-high-artificer_core,29,2292.83,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic"", ""player3"": ""llm_fusion"", ""player4"": ""random""}","{""player1"": ""krenko-mob-boss_core"", ""player2"": ""atraxa-praetors-voice_core"", ""player3"": ""urza-lord-high-artificer_core"", ""player4"": ""meren-of-clan-nel-toth_core""}",
3,commander,player3,random,urza-lord-high-artificer_core,16,352.35,"{""player1"": ""kg_heuristic"", ""player2"": ""llm_fusion"", ""player3"": ""random"", ""player4"": ""heuristic""}","{""player1"": ""krenko-mob-boss_core"", ""player2"": ""atraxa-praetors-voice_core"", ""player3"": ""urza-lord-high-artificer_core"", ""player4"": ""meren-of-clan-nel-toth_core""}",
4,commander,player3,heuristic,urza-lord-high-artificer_core,25,1239.14,"{""player1"": ""llm_fusion"", ""player2"": ""random"", ""player3"": ""heuristic"", ""player4"": ""kg_heuristic""}","{""player1"": ""krenko-mob-boss_core"", ""player2"": ""atraxa-praetors-voice_core"", ""player3"": ""urza-lord-high-artificer_core"", ""player4"": ""meren-of-clan-nel-toth_core""}",
