game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,heuristic,modern_mono_red_burn,7,1.7,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player1,heuristic,modern_mono_red_burn,13,0.8,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,heuristic,modern_mono_red_burn,5,0.09,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,heuristic,modern_mono_red_burn,8,0.12,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,heuristic,modern_mono_red_burn,7,0.14,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,heuristic,modern_mono_red_burn,8,0.44,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,heuristic,modern_mono_red_burn,6,0.8,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,heuristic,modern_mono_red_burn,8,0.88,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,10,1.47,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,5,0.6,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,6,0.77,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,5,0.65,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,5,0.12,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,6,0.17,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,7,0.18,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,4,0.09,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
17,standard,player1,heuristic,modern_mono_red_burn,11,1.09,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
18,standard,player1,heuristic,modern_mono_red_burn,6,0.11,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
19,standard,player1,kg_heuristic,modern_mono_red_burn,8,0.15,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
20,standard,player1,kg_heuristic,modern_mono_red_burn,8,0.52,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
21,standard,player1,kg_heuristic,modern_mono_red_burn,15,0.33,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
22,standard,player1,kg_heuristic,modern_mono_red_burn,13,0.99,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
23,standard,player1,kg_heuristic,modern_mono_red_burn,9,0.13,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
24,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.09,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
25,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.82,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
26,standard,player1,kg_heuristic,modern_mono_red_burn,7,0.78,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
27,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.78,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
28,standard,player1,kg_heuristic,modern_mono_red_burn,15,2.04,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
29,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.65,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
30,standard,player1,kg_heuristic,modern_mono_red_burn,8,0.93,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
31,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.14,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
32,standard,player1,kg_heuristic,modern_mono_red_burn,4,0.1,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
33,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.09,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
34,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.16,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
35,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.13,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
36,standard,player1,kg_heuristic,modern_mono_red_burn,11,0.98,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
37,standard,player1,world_model,modern_mono_red_burn,7,3.73,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
38,standard,player2,heuristic,modern_azorius_control,14,1.58,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
39,standard,player2,heuristic,modern_azorius_control,25,5.97,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
40,standard,player1,world_model,modern_mono_red_burn,7,0.93,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
41,standard,player1,world_model,modern_mono_red_burn,6,0.76,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
42,standard,player1,world_model,modern_mono_red_burn,8,3.65,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
