epoch,train/total,train/prediction,train/kl
0,0.32905618987748403,0.27889146260842973,0.5016472252120493
1,0.4253492065132206,0.3251671343912754,0.5009103664307948
2,0.49834916228569653,0.34811358272564674,0.5007852444069475
3,0.551179096070447,0.3508904581141709,0.5007215891373834
4,0.5985547534156641,0.3482433057298594,0.500622895720099
5,0.6542200141910249,0.3539024760140749,0.5005292102933291
6,0.7068077013987182,0.35649949494844496,0.5004403032669003
7,0.7573120774852089,0.3570123757568465,0.5003746198776636
8,0.8072313924742344,0.3569440578048804,0.5003192737898614
9,0.8574843229721923,0.35720863035485156,0.5002756933594947
10,0.8574635294310816,0.35718574888291116,0.500277780567531
11,0.8589024695161619,0.358626793168127,0.5002756762189646
12,0.8587485374620644,0.3584845646305898,0.5002639726830438
13,0.8592081776864088,0.35893912025476854,0.5002690575219894
14,0.8596278341005457,0.3593691707354389,0.5002586634038279
15,0.8588960931744086,0.35863839408028636,0.5002576990941222
16,0.8590308073254672,0.35877546509296254,0.5002553423486679
17,0.8591154991109012,0.3588685663283878,0.5002469327115249
18,0.8591039227608118,0.35885448260140035,0.5002494403659239
19,0.8595068329802422,0.3592682896934582,0.5002385437127159
20,0.8595459782597099,0.3593062493593572,0.5002397287454684
21,0.8577628218415188,0.3575347160856772,0.5002281060849706
22,0.8605880250451677,0.36035652889762415,0.5002314963734166
23,0.8564714804104573,0.3562571643789179,0.5002143158572946
24,0.8575053941692403,0.3572872277589627,0.5002181664360917
25,0.8609629017339222,0.36072991712235847,0.5002329846309242
26,0.859321466613611,0.35910250555002726,0.5002189610829442
27,0.857191795598588,0.3569832803393505,0.5002085152205166
28,0.8569492826398806,0.35674161861834974,0.500207664324846
29,0.8568057201289676,0.3566050565361512,0.5002006636573516
