game,format,winner_seat,winner_agent,winner_deck,turns,elapsed_sec,seats,decks,error
1,standard,player1,heuristic,modern_mono_red_burn,4,1.41,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
2,standard,player2,kg_heuristic,modern_azorius_control,10,0.45,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
3,standard,player1,heuristic,modern_mono_red_burn,5,0.08,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
4,standard,player1,heuristic,modern_mono_red_burn,4,0.06,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
5,standard,player1,heuristic,modern_mono_red_burn,6,0.32,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
6,standard,player1,heuristic,modern_mono_red_burn,10,0.39,"{""player1"": ""heuristic"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
7,standard,player1,heuristic,modern_mono_red_burn,12,4.31,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
8,standard,player1,heuristic,modern_mono_red_burn,5,0.76,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
9,standard,player1,heuristic,modern_mono_red_burn,5,0.91,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
10,standard,player1,heuristic,modern_mono_red_burn,9,1.06,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
11,standard,player1,heuristic,modern_mono_red_burn,12,1.44,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
12,standard,player1,heuristic,modern_mono_red_burn,6,0.81,"{""player1"": ""heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
13,standard,player1,heuristic,modern_mono_red_burn,11,0.24,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
14,standard,player1,heuristic,modern_mono_red_burn,14,2.42,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
15,standard,player1,heuristic,modern_mono_red_burn,11,0.92,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
16,standard,player1,heuristic,modern_mono_red_burn,6,0.11,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
17,standard,player1,heuristic,modern_mono_red_burn,5,0.1,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
18,standard,player1,heuristic,modern_mono_red_burn,4,0.08,"{""player1"": ""heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
19,standard,player1,kg_heuristic,modern_mono_red_burn,9,0.39,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
20,standard,player1,kg_heuristic,modern_mono_red_burn,10,0.14,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
21,standard,player1,kg_heuristic,modern_mono_red_burn,12,0.69,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
22,standard,player1,kg_heuristic,modern_mono_red_burn,10,0.14,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
23,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.06,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
24,standard,player1,kg_heuristic,modern_mono_red_burn,7,0.1,"{""player1"": ""kg_heuristic"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
25,standard,player1,kg_heuristic,modern_mono_red_burn,9,1.07,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
26,standard,player2,world_model,modern_azorius_control,13,1.85,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
27,standard,player1,kg_heuristic,modern_mono_red_burn,7,0.91,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
28,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.79,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
29,standard,player1,kg_heuristic,modern_mono_red_burn,4,0.55,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
30,standard,player1,kg_heuristic,modern_mono_red_burn,7,0.84,"{""player1"": ""kg_heuristic"", ""player2"": ""world_model""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
31,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.15,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
32,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.13,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
33,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.14,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
34,standard,player1,kg_heuristic,modern_mono_red_burn,5,0.14,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
35,standard,player1,kg_heuristic,modern_mono_red_burn,6,0.12,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
36,standard,player1,kg_heuristic,modern_mono_red_burn,4,0.07,"{""player1"": ""kg_heuristic"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
37,standard,player1,world_model,modern_mono_red_burn,9,1.05,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
38,standard,player1,world_model,modern_mono_red_burn,6,0.79,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
39,standard,player1,world_model,modern_mono_red_burn,11,1.21,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
40,standard,player1,world_model,modern_mono_red_burn,6,0.69,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
41,standard,player1,world_model,modern_mono_red_burn,7,3.87,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
42,standard,player1,world_model,modern_mono_red_burn,12,3.99,"{""player1"": ""world_model"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
43,standard,player1,world_model,modern_mono_red_burn,12,1.32,"{""player1"": ""world_model"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
44,standard,player1,world_model,modern_mono_red_burn,10,1.2,"{""player1"": ""world_model"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
45,standard,player1,world_model,modern_mono_red_burn,11,1.35,"{""player1"": ""world_model"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
46,standard,player1,world_model,modern_mono_red_burn,11,1.39,"{""player1"": ""world_model"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
47,standard,player1,world_model,modern_mono_red_burn,6,0.72,"{""player1"": ""world_model"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
48,standard,player1,world_model,modern_mono_red_burn,11,1.27,"{""player1"": ""world_model"", ""player2"": ""kg_heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
49,standard,player1,world_model,modern_mono_red_burn,8,4.37,"{""player1"": ""world_model"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
50,standard,player1,world_model,modern_mono_red_burn,5,0.68,"{""player1"": ""world_model"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
51,standard,player2,active_inference,modern_azorius_control,13,5.61,"{""player1"": ""world_model"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
52,standard,player1,world_model,modern_mono_red_burn,7,0.97,"{""player1"": ""world_model"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
53,standard,player1,world_model,modern_mono_red_burn,11,1.6,"{""player1"": ""world_model"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
54,standard,player1,world_model,modern_mono_red_burn,7,0.87,"{""player1"": ""world_model"", ""player2"": ""active_inference""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
55,standard,player1,active_inference,modern_mono_red_burn,10,0.95,"{""player1"": ""active_inference"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
56,standard,player2,heuristic,modern_azorius_control,10,1.06,"{""player1"": ""active_inference"", ""player2"": ""heuristic""}","{""player1"": ""modern_mono_red_burn"", ""player2"": ""modern_azorius_control""}",
